image,condition,replicate,cell_id,nucleolar_area,nucleolar_solidity,nucleolar_circularity,nucleolar_eccentricity,n_nucleoli
MAX_25deg_rep1.tif,25deg,1,1,46,0.9583333333333334,0.8620554727260601,0.5878095102797996,1
MAX_25deg_rep1.tif,25deg,1,2,176,0.7927927927927928,0.34570104804812785,0.5907218629635229,1
MAX_25deg_rep1.tif,25deg,1,3,68,0.9855072463768116,0.9911729497992781,0.709231174283863,2
MAX_25deg_rep1.tif,25deg,1,4,40,0.9523809523809523,0.959505221816832,0.617869888682087,1
MAX_25deg_rep1.tif,25deg,1,5,68,0.918918918918919,0.8618389216237523,0.7760866141364401,1
MAX_25deg_rep1.tif,25deg,1,6,120,0.9230769230769231,0.8555018707294598,0.7281944919704657,1
MAX_25deg_rep1.tif,25deg,1,7,78,0.9176470588235294,0.8237471140507296,0.8588410004341142,1
MAX_25deg_rep1.tif,25deg,1,8,48,0.9230769230769231,0.868404226856289,0.6464714206474477,1
MAX_25deg_rep1.tif,25deg,1,9,128,0.9142857142857143,0.7077573215740557,0.5743068237745604,1
MAX_25deg_rep1.tif,25deg,1,10,155,0.8469945355191257,0.6051711901018324,0.7963719271526901,1
MAX_25deg_rep1.tif,25deg,1,11,92,0.92,0.8888087103316687,0.5481884512073958,1
MAX_25deg_rep1.tif,25deg,1,12,72,0.9473684210526315,0.9455964461411965,0.21014818308123182,1
MAX_25deg_rep1.tif,25deg,1,13,106,0.905982905982906,0.7760895397263602,0.34572012455701356,1
MAX_25deg_rep1.tif,25deg,1,15,93,0.9207920792079208,0.8352163591992539,0.7236621065853996,1
MAX_25deg_rep1.tif,25deg,1,16,82,0.9010989010989011,0.7364273274660085,0.833847972660175,1
MAX_25deg_rep1.tif,25deg,1,17,73,0.9240506329113924,0.9118378130725692,0.5626679114361419,1
MAX_25deg_rep1.tif,25deg,1,18,39,0.9512195121951219,0.8577234287223816,0.696861487760132,1
MAX_25deg_rep1.tif,25deg,1,19,142,0.9044585987261147,0.7358755176707353,0.749190198024386,1
MAX_25deg_rep1.tif,25deg,1,20,63,0.9402985074626866,0.9040710977868963,0.7671341451225817,1
MAX_25deg_rep1.tif,25deg,1,21,79,0.8977272727272727,0.8232907339580544,0.8155104122831084,1
MAX_25deg_rep1.tif,25deg,1,22,117,0.9285714285714286,0.8662199919179734,0.477096447648667,1
MAX_25deg_rep1.tif,25deg,1,23,69,0.9857142857142858,0.9540280939439033,0.7915953080972767,1
MAX_25deg_rep1.tif,25deg,1,24,109,0.956140350877193,0.9015986564870705,0.5396891406864032,1
MAX_25deg_rep1.tif,25deg,1,25,101,0.7890625,0.5354129780423174,0.8598020071418235,1
MAX_25deg_rep1.tif,25deg,1,26,71,0.922077922077922,0.899861226989506,0.457663790140146,1
MAX_25deg_rep1.tif,25deg,1,27,70,0.9210526315789473,0.8871871252009214,0.5873671598284675,1
MAX_25deg_rep1.tif,25deg,1,28,74,0.925,0.8628399555787142,0.26179878303112886,1
MAX_25deg_rep1.tif,25deg,1,29,85,0.9139784946236559,0.91484766994773,0.5384207943688414,1
MAX_25deg_rep1.tif,25deg,1,30,33,0.8918918918918919,0.8314510669534804,0.7419466046208973,1
MAX_25deg_rep1.tif,25deg,1,31,72,0.9113924050632911,0.8686613728990282,0.4768142934895052,1
MAX_25deg_rep1.tif,25deg,1,32,79,0.9294117647058824,0.7872753166354144,0.7502454390319155,1
MAX_25deg_rep1.tif,25deg,1,33,63,0.9264705882352942,0.7493581352150186,0.6423787330108001,1
MAX_25deg_rep1.tif,25deg,1,34,86,0.945054945054945,0.8844830996928323,0.5939419659599182,1
MAX_25deg_rep1.tif,25deg,1,35,56,0.9491525423728814,0.8817057311436485,0.8263546875024537,1
MAX_25deg_rep1.tif,25deg,1,36,63,0.9402985074626866,0.9040710977868963,0.5731071236991483,1
MAX_25deg_rep1.tif,25deg,1,37,111,0.940677966101695,0.9290759098926716,0.5224139823909144,1
MAX_25deg_rep1.tif,25deg,1,38,67,0.9571428571428572,0.9263751057136452,0.5117594672782636,1
MAX_25deg_rep1.tif,25deg,1,39,56,0.835820895522388,0.5274707098903908,0.8276224751625616,1
MAX_25deg_rep1.tif,25deg,1,40,64,0.8648648648648649,0.7117755033571204,0.5503821272816652,1
MAX_25deg_rep1.tif,25deg,1,41,123,0.9044117647058824,0.7668420728429034,0.6773462014125139,2
MAX_25deg_rep1.tif,25deg,1,42,48,0.96,0.9225713057860767,0.6969762269207864,1
MAX_25deg_rep1.tif,25deg,1,43,37,0.9736842105263158,0.9322330144629931,0.7869535160824858,1
MAX_25deg_rep1.tif,25deg,1,44,81,0.9642857142857143,0.9132983421780763,0.7681552224777635,1
MAX_25deg_rep1.tif,25deg,1,45,293,0.7855227882037533,0.3250138707115189,0.7855665413347193,1
MAX_25deg_rep1.tif,25deg,1,46,37,0.9024390243902439,0.8137376118648236,0.6669451866776813,1
MAX_25deg_rep1.tif,25deg,1,47,97,0.9509803921568627,0.9252725688947755,0.3315052236886769,1
MAX_25deg_rep1.tif,25deg,1,48,139,0.9025974025974026,0.8056862096683202,0.6397180380582244,1
MAX_25deg_rep1.tif,25deg,1,49,85,0.9042553191489362,0.744932719939533,0.6434500108580357,2
MAX_25deg_rep1.tif,25deg,1,50,74,0.925,0.8628399555787142,0.7575073750067263,1
MAX_25deg_rep1.tif,25deg,1,51,107,0.9067796610169492,0.5514754215231273,0.7790577820664393,2
MAX_25deg_rep1.tif,25deg,1,52,56,0.9180327868852459,0.8480367285678171,0.7444755478225878,1
MAX_25deg_rep1.tif,25deg,1,53,107,0.9469026548672567,0.880744123045648,0.7908931551542528,1
MAX_25deg_rep1.tif,25deg,1,54,126,0.8811188811188811,0.6268414710854558,0.6156222513750033,1
MAX_25deg_rep1.tif,25deg,1,55,65,0.9701492537313433,0.9474447314257803,0.613105386992989,1
MAX_25deg_rep1.tif,25deg,1,56,89,0.9468085106382979,0.8985342050554112,0.6661634723066138,1
MAX_25deg_rep1.tif,25deg,1,57,50,0.9433962264150944,0.867636420831165,0.821613689468018,1
MAX_40deg_rep1.tif,40deg,1,1,116,0.9586776859504132,0.8684879294325315,0.7882534237217523,1
MAX_40deg_rep1.tif,40deg,1,2,18,0.75,0.5295884292057856,0.9024050063871099,5
MAX_40deg_rep1.tif,40deg,1,3,82,0.5466666666666666,0.1866724512814465,0.742828841040537,8
MAX_40deg_rep1.tif,40deg,1,4,118,0.9672131147540983,0.9994988662367144,0.34400872931509313,1
MAX_40deg_rep1.tif,40deg,1,5,166,0.9431818181818182,0.9090783136234056,0.6886588134195399,1
MAX_40deg_rep1.tif,40deg,1,6,106,0.9464285714285714,0.9519670330658163,0.44358353465517714,1
MAX_40deg_rep1.tif,40deg,1,7,79,0.9753086419753086,0.9668483740246135,0.6990432604678709,1
MAX_40deg_rep1.tif,40deg,1,8,84,0.9130434782608695,0.8480547553331971,0.8401035548909489,1
MAX_40deg_rep1.tif,40deg,1,9,84,0.9545454545454546,0.9603129067475913,0.6777152592088708,1
MAX_40deg_rep1.tif,40deg,1,10,157,0.9345238095238095,0.8401962835011126,0.7263913457749408,1
MAX_40deg_rep1.tif,40deg,1,11,43,0.7818181818181819,0.41233448084779123,0.7158810155172309,7
MAX_40deg_rep1.tif,40deg,1,12,116,0.9666666666666667,0.9825582074869399,0.546995993398897,1
MAX_40deg_rep1.tif,40deg,1,13,59,0.9365079365079365,0.92893996674063,0.6006787336175289,1
MAX_40deg_rep1.tif,40deg,1,14,130,0.9558823529411765,0.9624666576866371,0.4086631696326808,1
MAX_40deg_rep1.tif,40deg,1,15,135,0.9183673469387755,0.8295896469077421,0.7787453346765026,1
MAX_40deg_rep1.tif,40deg,1,16,194,0.9509803921568627,0.9703331828513906,0.25671729391257336,1
MAX_40deg_rep1.tif,40deg,1,17,10,0.9090909090909091,0.5601187107454253,0.9128709291752769,9
MAX_40deg_rep1.tif,40deg,1,18,110,0.9401709401709402,0.9054378835048719,0.521730193681408,1
MAX_40deg_rep1.tif,40deg,1,19,38,0.6333333333333333,0.31586123353829915,0.9683660380158828,1
MAX_40deg_rep1.tif,40deg,1,20,166,0.9485714285714286,0.8883604016635973,0.6075856672571066,1
MAX_40deg_rep1.tif,40deg,1,21,111,0.5414634146341464,0.18229243393510247,0.3044805979282429,13
MAX_40deg_rep1.tif,40deg,1,22,27,0.9642857142857143,0.89953614545328,0.6915739096130078,1
MAX_40deg_rep1.tif,40deg,1,23,102,0.8225806451612904,0.6030821733486462,0.9247376503463293,1
MAX_40deg_rep1.tif,40deg,1,24,227,0.934156378600823,0.7245387626299216,0.8889266341659933,1
MAX_40deg_rep1.tif,40deg,1,25,148,0.896969696969697,0.6728306960405445,0.927308078744927,1
MAX_40deg_rep1.tif,40deg,1,26,271,0.8741935483870967,0.6084506272661229,0.9127600805951555,1
MAX_40deg_rep1.tif,40deg,1,27,127,0.9338235294117647,0.8819199910950998,0.5753911968583978,1
MAX_40deg_rep1.tif,40deg,1,28,92,0.92,0.8620554727260598,0.6858252954961409,1
MAX_40deg_rep1.tif,40deg,1,29,128,0.9343065693430657,0.9476594783376115,0.41606507180309715,1
MAX_40deg_rep1.tif,40deg,1,30,98,0.9423076923076923,0.8202652177430794,0.8770076197090112,1
MAX_40deg_rep1.tif,40deg,1,31,83,1.0,1.015802722076493,0.6533932866644468,1
